,loss,accuracy,binary_accuracy,top_1_categorical_accuracy,top_3_categorical_accuracy,top_5_categorical_accuracy,truepositive,truenegative,falsepositive,falsenegative,precision,val_loss,val_accuracy,val_binary_accuracy,val_top_1_categorical_accuracy,val_top_3_categorical_accuracy,val_top_5_categorical_accuracy,val_truepositive,val_truenegative,val_falsepositive,val_falsenegative,val_precision
20,0.0033385970164090395,0.384358286857605,0.9991503357887268,0.384358286857605,0.8338903784751892,0.9896390438079834,10532.0,61215.0,29.0,32.0,0.9972540736198425,0.07608772814273834,0.36862003803253174,0.9836956262588501,0.36862003803253174,0.8582230806350708,0.9716446399688721,1760.0,10729.0,137.0,70.0,0.9277806878089905
21,0.0015178979374468327,0.4107620418071747,0.9995683431625366,0.4107620418071747,0.846256673336029,0.9896390438079834,10548.0,61229.0,15.0,16.0,0.9985799193382263,0.058398690074682236,0.36862003803253174,0.9880276322364807,0.36862003803253174,0.8676748871803284,0.9697542786598206,1742.0,10802.0,64.0,88.0,0.9645625948905945
22,0.001402976573444903,0.35695186257362366,0.9997631907463074,0.35695186257362366,0.8402406573295593,0.9822860956192017,10553.0,61238.0,6.0,11.0,0.9994317889213562,0.05869843065738678,0.3478260934352875,0.9870036840438843,0.3478260934352875,0.822306215763092,0.9527410268783569,1752.0,10779.0,87.0,78.0,0.9526916742324829
23,0.0007671681232750416,0.37132352590560913,0.9998189210891724,0.37132352590560913,0.8382353186607361,0.9849599003791809,10559.0,61236.0,8.0,5.0,0.999242901802063,0.05164900794625282,0.4404536783695221,0.9887365102767944,0.4404536783695221,0.8714555501937866,0.9735350012779236,1737.0,10816.0,50.0,93.0,0.972020149230957
24,0.0010014167055487633,0.39338234066963196,0.9996935725212097,0.39338234066963196,0.8506016135215759,0.9846256971359253,10551.0,61235.0,9.0,13.0,0.9991477131843567,0.06268322467803955,0.3251417875289917,0.9852709174156189,0.3251417875289917,0.7731568813323975,0.9527410268783569,1751.0,10758.0,108.0,79.0,0.9419042468070984
25,0.0027849464677274227,0.3947192430496216,0.9992062449455261,0.3947192430496216,0.8275400996208191,0.9866310358047485,10534.0,61217.0,27.0,30.0,0.997443437576294,0.09460488706827164,0.42344045639038086,0.974716305732727,0.42344045639038086,0.8544423580169678,0.967863917350769,1663.0,10712.0,154.0,167.0,0.9152449369430542
26,0.00812034122645855,0.3646390438079834,0.9978834986686707,0.3646390438079834,0.8415775299072266,0.989973247051239,10475.0,61181.0,63.0,89.0,0.9940216541290283,0.20368216931819916,0.37240076065063477,0.9552614092826843,0.37240076065063477,0.8034026622772217,0.9395084977149963,1544.0,10584.0,282.0,286.0,0.845564067363739
27,0.008525904268026352,0.37098929286003113,0.9970754384994507,0.37098929286003113,0.8529411554336548,0.9849599003791809,10451.0,61147.0,97.0,113.0,0.9908039569854736,0.07109986990690231,0.23818525671958923,0.9806238412857056,0.23818525671958923,0.7221171855926514,0.9432892203330994,1709.0,10741.0,125.0,121.0,0.9318429827690125
28,0.004825390409678221,0.38368985056877136,0.9986072778701782,0.38368985056877136,0.8532754182815552,0.9889705777168274,10507.0,61201.0,43.0,57.0,0.995924174785614,0.06280218064785004,0.30434781312942505,0.9837744832038879,0.30434781312942505,0.7107750177383423,0.9451795816421509,1704.0,10786.0,80.0,126.0,0.9551569223403931
29,0.0029770738910883665,0.34592247009277344,0.9991224408149719,0.34592247009277344,0.8472593426704407,0.989973247051239,10534.0,61211.0,33.0,30.0,0.9968770742416382,0.08426066488027573,0.353497177362442,0.9822778701782227,0.353497177362442,0.7977315783500671,0.964083194732666,1673.0,10798.0,68.0,157.0,0.9609419703483582
30,0.0015494785038754344,0.4207887649536133,0.9995541572570801,0.4207887649536133,0.8516042828559875,0.9903075098991394,10546.0,61230.0,14.0,18.0,0.998674213886261,0.06357799470424652,0.35538750886917114,0.9868461489677429,0.35538750886917114,0.8109641075134277,0.95652174949646,1710.0,10819.0,47.0,120.0,0.9732498526573181
31,0.0014594342792406678,0.41377004981040955,0.9995822310447693,0.41377004981040955,0.8619652390480042,0.990641713142395,10546.0,61232.0,12.0,18.0,0.9988633990287781,0.052785031497478485,0.4158790111541748,0.9881064295768738,0.4158790111541748,0.782608687877655,0.9584121108055115,1752.0,10793.0,73.0,78.0,0.9599999785423279
32,0.0016959905624389648,0.4067513346672058,0.9996100664138794,0.4067513346672058,0.8422459959983826,0.9883021116256714,10548.0,61232.0,12.0,16.0,0.9988636374473572,0.051578816026449203,0.47448015213012695,0.9882642030715942,0.47448015213012695,0.8960302472114563,0.9773156642913818,1750.0,10797.0,69.0,80.0,0.9620670676231384
33,0.0016053544823080301,0.4050801992416382,0.9995684027671814,0.4050801992416382,0.8495989441871643,0.9876337051391602,10550.0,61227.0,17.0,14.0,0.9983912110328674,0.0672772154211998,0.4688090682029724,0.9872400760650635,0.4688090682029724,0.8884688019752502,0.9697542786598206,1715.0,10819.0,47.0,115.0,0.973325788974762
